handle_or_url,title,platform,source_type,locality_bucket,country_guess,city_guess,language_guess,parseability_score,quote_post_count,buy_sell_pair_count,likely_individual_shop,freshness_score,locality_usefulness_score,basket_contribution_score,feed_stability_score,operational_score,operational_bucket,last_seen,status_guess,notes
iruae,Iran & UAE CC 🇮🇷🇦🇪,telegram,unknown,UAE,UAE,Dubai,Persian,6,0,0,False,4,9,10,0,15,reject,2026-01-02T18:03:10+00:00,ok,classified as unknown; no visible quote structure in sampled messages; fills thin UAE basket; limited stability evidence; low parseability; ranked reject
iranian_business_council,Iranian Business Council_Dubai,telegram,aggregator,UAE,UAE,Dubai,Persian,14,0,0,False,7,9,10,2,13,reject,2026-02-28T21:44:55+00:00,ok,classified as aggregator; no visible quote structure in sampled messages; fills thin UAE basket; limited stability evidence; low parseability; ranked reject
durov,Pavel Durov,telegram,unknown,UAE,UAE,Dubai,Turkish,6,0,0,False,10,9,10,2,11,reject,2026-03-02T13:01:29+00:00,ok,classified as unknown; no visible quote structure in sampled messages; recent activity signal; fills thin UAE basket; limited stability evidence; low parseability; ranked reject
arziranex,Telegram: Contact @arziranex,telegram,unknown,Iran,Iran,unknown,English,6,0,0,False,0,10,5,1,8,reject,,ok_no_text,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranconsulateinuk,🇬🇧 کنسولی لندن 🇮🇷,telegram,unknown,UK,Turkey,Istanbul,Persian,14,0,0,False,12,7,3,2,7,reject,2026-03-14T12:36:37+00:00,ok,classified as unknown; no visible quote structure in sampled messages; recent activity signal; limited stability evidence; low parseability; ranked reject
para_transferiofficial,Para_Transferi,telegram,unknown,Iran,Iran,unknown,Turkish,6,0,0,False,0,10,5,0,7,reject,2023-09-11T06:22:43+00:00,ok,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranine_london,ایرانیان لندن,telegram,aggregator,UK,UK,London,Persian,6,0,0,False,0,7,3,1,5,reject,,ok_no_text,classified as aggregator; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranian_school_istanbul,مدرسه ایرانیان استانبول,telegram,unknown,Turkey,Turkey,Istanbul,Persian,22,0,0,False,0,9,9,0,4,reject,2023-08-05T21:50:03+00:00,ok,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; fills thin Turkey basket; limited stability evidence; low parseability; ranked reject
iranian_london23,نیازمندیهای ایرانیان لندن IRANIAN LONDON,telegram,unknown,UK,UK,London,Persian,6,0,0,False,0,7,3,1,3,reject,,ok_no_text,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranianinlondon,IRANIAN IN LONDON - ایرانیان مقیم انگلستان,telegram,unknown,UK,UK,London,Persian,6,0,0,False,0,7,3,1,3,reject,,ok_no_text,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
bestiranianglobal,Best Iranian,telegram,unknown,UK,UK,London,English,6,0,0,False,0,7,3,0,2,reject,2022-02-22T12:21:33+00:00,ok,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranian_uk_media,@Iranian_UK_Media,telegram,unknown,UK,Iran,unknown,English,6,0,0,False,0,7,3,0,2,reject,2023-04-22T21:01:29+00:00,ok,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranianuk,Iranian UK,telegram,unknown,UK,Iran,unknown,English,6,0,0,False,0,7,3,0,2,reject,2015-09-26T13:16:41+00:00,ok,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
aradgp7,Arad P7,telegram,unknown,unknown,unknown,unknown,English,6,0,0,False,0,2,1,1,0,reject,,ok_no_text,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
azeri_hub,Azeri Hub,telegram,unknown,unknown,unknown,unknown,Turkish,6,0,0,False,0,2,1,1,0,reject,2024-05-27T13:45:49+00:00,ok_no_text,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
hijabhorny,Hijab Girls 🧕🏻,telegram,unknown,unknown,unknown,unknown,English,6,0,0,False,0,2,1,1,0,reject,,ok_no_text,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; limited stability evidence; low parseability; ranked reject
iranconsulateistanbul,Iranconsulate_Istanbul,telegram,unknown,Turkey,Turkey,Istanbul,Turkish,6,0,0,False,0,9,9,0,0,reject,2024-01-04T07:43:03+00:00,ok,classified as unknown; no visible quote structure in sampled messages; weak freshness / stale visibility; fills thin Turkey basket; limited stability evidence; low parseability; ranked reject
