handle,public_url,title,city_guess,channel_type_guess,likely_individual_shop,parseable_score,quote_post_count,has_phone,has_address,has_website,last_seen_text_sample,status
bibamaxxcom,https://t.me/s/bibamaxxcom,Bibamax.com Channel,unknown,unclear,False,15,0,False,True,True,"Beauty Empire: 1×2 Noreen succeeds in getting the attention of Velma Imperial, the head of the beauty empire that is Velma Beauty. https://bibamax.com/episodes/beauty-empire-1x2/ Telegram GC: https:// https://t.me/+vNNrGU9I5R1jOTZl",ok
bintjbeilnews,https://t.me/s/bintjbeilnews,bintjbeil.org - موقع بنت جبيل,Tehran,unclear,False,14,0,False,False,True,🚨 وزير الدولة البريطاني لشؤون الشرق الأوسط: نؤكد بوضوح أن لبنان يجب أن يكون مشمولًا بوقف إطلاق النار British Minister of State for the Middle East: We clearly emphasize that Lebanon must be included in the ceasefire. ــــــــــــــ 📲 قناة م,ok
bizamo_info_bot,https://t.me/s/bizamo_info_bot,Bizamo media,unknown,unclear,False,0,0,False,True,True,,ok_no_text
bizamo_media,https://t.me/s/bizamo_media,ቢዛሞ ሚዲያ(Bizamo media),unknown,unclear,False,14,0,False,False,True,ተጠናክሮ የቀጠለው የአዬር ጥቃት በወለጋ ‼ ፨፨፨፨፨፨፨፨፨፨፨፨፨፨፨፨፨፨፨፨ ፨፨፨ ኩታ ገጠም የሆኑት ምስራቅ ወለጋ ዞን ጊዳ አያናና ሊሙ ወረዳውች እንዲሁም ሆሮ ጉዱሩ ወለጋ ዞን አቤደንጎሮ ወረዳ ከትናንት ጧት ጀምሮ በሚግ እዬተደበደቡ ሲገኙ በአንጻሩ ጃርደጋ ጃርቴና ኪረሙ ወረዳዎች የአዬር ቅኝት መጀመሩን ምንጮች ለቢዛሞ ሚዲያ ገልጸዋል። በዛሬው ዕለት ምስራቅ ወለጋ ሊሙ ወረዳ,ok
bizamonewsbot,https://t.me/s/bizamonewsbot,BIZAMO NEWS,unknown,unclear,False,0,0,False,True,True,,ok_no_text
bnfm123,https://t.me/s/bnfm123,Telegram: Contact @bnfm123,unknown,unclear,False,0,0,False,True,True,,ok_no_text
bonbast_exchange,https://t.me/s/bonbast_exchange,نرخ دلار، یورو، پوند | بن بست | Bonbast,unknown,market_price_channel,False,95,20,False,False,True,"💵 دلار آمریکا : 79,500 تومان 🔻 💶 یورو اروپا : 82,100 تومان 🔻 💷 پوند انگلیس : 99,000 تومان 🔻 📅 تاریخ میلادی: 2025/01/06 📅 تاریخ شمسی: 1403/10/17 ⏰ 13:15:29 @bonbast_exchange",ok
borsa_erbil,https://t.me/s/borsa_erbil,Borsa Erbil,unknown,unclear,False,26,0,False,False,True,"دۆلار 💵 هەولێر 154,300 🟢 @SmartTrader_Gold @Pashagoldd",ok
bt2day,https://t.me/s/bt2day,بيش التومان اليوم؟ 🇮🇶🇮🇷,unknown,unclear,False,0,0,False,True,True,,ok_no_text
cafetradesignal,https://t.me/s/cafetradesignal,چالش تبدیل ۱۰۰ دالر به ۵۰۰ دالر,unknown,unclear,False,0,0,False,True,True,,ok_no_text
canadairanca,https://t.me/s/canadairanca,,unknown,unclear,False,0,0,False,False,False,,not_crawled
canirn,https://t.me/s/canirn,,unknown,unclear,False,0,0,False,False,False,,not_crawled
come_for_ads,https://t.me/s/come_for_ads,♻️ تبلیغات مجموع کانال ها ♻️,Tehran,unclear,False,12,0,False,False,True,Channel created,ok
dadyarm,https://t.me/s/dadyarm,Telegram: Contact @dadyarm,unknown,unclear,False,0,0,False,True,True,,ok_no_text
darbastaan,https://t.me/s/darbastaan,Darbastan.com,unknown,unclear,False,0,0,False,True,True,,ok_no_text
darbastan,https://t.me/s/darbastan,Darbastan.com,Tehran,unclear,False,16,0,True,True,True,🏷️ قیمت لوله داربستی (نو) ۱۴۰۴/۰۷/۰۷ 📈 👇 https://darbastan.com/Blog/608/%D9%82%DB%8C%D9%85%D8%AA-%D9%84%D9%88%D9%84%D9%87-%D8%AF%D8%A7%D8%B1%D8%A8%D8%B3%D8%AA%DB%8C ✅ دقت داشته باشید که قیمت های لوله داربستی واحد کیلوگرم می باشد . در صورت ت,ok
daviditsupportuklondon,https://t.me/s/daviditsupportuklondon,DAVID IT SUPPORT UK,London,individual_exchange_shop,True,89,14,True,True,True,". ⭕️ گزارش قیمت ارزهای دیجیتال | سه شنبه 18 فروردین 1405 - 11:00 ◽️ بیت کوین : 109,900,466,000 ریال ◽️ بیت کوین : 68,563.52 تتر ◽️ اتریوم : 3,369,728,600 ریال ◽️ اتریوم : 2,102.27 تتر ◽️ تتر : 1,604,820 ریال ◽️ تتر : 1. تتر ◽️ دش : 48,840,4",ok
demybot,https://t.me/s/demybot,Demybot✔️,unknown,unclear,False,0,0,False,True,True,,ok_no_text
denar_online,https://t.me/s/denar_online,ارز ساحلی بوکان,Isfahan,unclear,False,33,1,False,False,True,قیمت لحظه ای دلار 💸 🇺🇸 164000 __ #خرده #ارز_بوکان @denar_online,ok
dhsusdt,https://t.me/s/dhsusdt,DHs usdt,unknown,market_price_channel,False,50,6,False,False,True,دلار ۴۹.۴۰۰ 🔴 تتر فروش ۴۹.۵۰۰ تتر خرید ۴۹.۱۰۰ 🔴 درهم فروش ۱۳.۷۰۰ درهم خرید ۱۳.۶۰۰ 🔴,ok
dinarevaluation,https://t.me/s/dinarevaluation,DINAR REVALUATION,Tehran,unclear,False,14,0,True,True,True,"DINAR REVALUATION:COFFEE WITH MARKZ: Iraq Vote, Bond Silence & Bank Training: Are We Approaching a Financial Shift? https://dinarevaluation.blogspot.com/2026/04/coffee-with-markz-iraq-vote-bond.html?spref=tw $IQD",ok
dirham_erbil,https://t.me/s/dirham_erbil,Telegram: Contact @dirham_erbil,unknown,unclear,False,0,0,False,True,True,,ok_no_text
dolaar_online,https://t.me/s/dolaar_online,قیمت آنلاین دلار,unknown,unclear,False,15,0,False,False,True,دلار سبزه ⛳️ فردایی None معامله شد ✅ 💵 @dolaar_online,ok
dolarefeham,https://t.me/s/dolarefeham,🔵 خبر دلار فهام 🔴,Tehran,individual_exchange_shop,True,89,17,False,False,True,"دلار سلیمانیه نقدی 💵 27,850 فروش 🔴",ok
dolareseleimani,https://t.me/s/dolareseleimani,نرخ لحظه ای دلار سلیمانیه,Tehran,unclear,False,14,0,False,False,True,ادعای سی‌ان‌ان به نقل از منابع آگاه: ایران و آمریکا ممکن است آتش‌بس را بسته به سرعت مذاکرات در روزهای آینده تمدید کنند.,ok
dolarsaghez,https://t.me/s/dolarsaghez,دلار سقز,Tehran,individual_exchange_shop,True,95,20,False,False,True,"1404/11/09 ➖ ➖ ➖ ➖ ➖ ➖ دلار سقز نقدی 155,000 🔴 فروش دلار سقز نقدی 154,500 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 99 🔴 فروش دینار عراق 🇮🇶 98 🔵 خرید @dolarsaghez .",ok
dolarsghez,https://t.me/s/dolarsghez,Telegram: Contact @dolarsghez,unknown,unclear,False,0,0,False,True,True,,ok_no_text
dolartalaa,https://t.me/s/dolartalaa,💰قیمت لحظه‌ای آبشده💰مع ف 🔔📅 مظنه,Tehran,dealer_network_channel,False,50,6,True,True,True,"https://t.me/hAmster_kombat_bot/start?startapp=kentId1061312934 Play with me, become cryptoexchange CEO and get a token airdrop! 💸 2k Coins as a first-time gift 🔥 25k Coins if you have Telegram Premium",ok
dollar_eurr,https://t.me/s/dollar_eurr,قیمت لحظه ای دلار و طلا وارز دیجیتال و تحلیل چارت,unknown,unclear,False,15,0,True,False,True,طلای 18 عیار 🥇 20045200 تومان طلای آب‌شده نقدی 🥇 87797000 تومان انس طلا 🥇 5231 دلار سکه یک گرمی 🥇 29000000 تومان ربع سکه 🥇 57210000 تومان نیم سکه 🥇 103970000 تومان سکه امامی 🥇 201490000 تومان سکه بهار آزادی 🥇 197410000 تومان,ok
dollar_sulaymaniyah,https://t.me/s/dollar_sulaymaniyah,قیمت لحظه ای دلار سلیمانیه,unknown,market_price_channel,False,76,12,False,False,True,"سلێمانی پسفردایی 💰 159,000 فروش 🔴",ok
dollar_tehran_sbze,https://t.me/s/dollar_tehran_sbze,,unknown,unclear,False,0,0,False,False,False,,not_crawled
dollariraqi,https://t.me/s/dollariraqi,سعر الدولار في العراق لحظة بلحظة بورصة الكفاح و الحارثية $,unknown,unclear,False,26,0,False,False,True,"💰 💰 سعر 100$ في البورصات العراقية - 🕥 🔺 🔺 : ▣بغداد-الكفاح: 155,300 عرض ▣بغداد-السموأل: 155,300 عرض ▣بغداد-الحارثية: 155,300 انباع ▣اربيل: 155,450 عرض ▣السليمانية: 155,600 عرض ▣كربلاء: 155,300 عرض ▣النجف: 155,300 عرض ▣البصرة: 155,000 عرض ▣كر",ok
dollarirq,https://t.me/s/dollarirq,بورصة الكفاح و الحارثية,unknown,unclear,False,15,0,False,False,True,أربيل 154.250 https://t.me/dollarirq,ok
dollarvan,https://t.me/s/dollarvan,Osman J Koroma,unknown,unclear,False,0,0,False,True,True,,ok_no_text
doodcrot69,https://t.me/s/doodcrot69,𝐃-𝐎-𝐎-𝐃-𝐂-𝐑-𝐎-𝐓,unknown,unclear,False,0,0,False,True,True,,ok_no_text
doular_toman,https://t.me/s/doular_toman,Jk A_d,unknown,unclear,False,0,0,False,True,True,,ok_no_text
eiadmin,https://t.me/s/eiadmin,ادمین تبلیغات,Tehran,unclear,False,0,0,False,True,True,,ok_no_text
erbilconsulate,https://t.me/s/erbilconsulate,🇮🇷 سرکنسولگری جمهوری اسلامی ایران-اربیل 🇮🇷,unknown,unclear,False,12,0,True,False,True,🎦 اظهارات اسماعیل بقائی سخنگوی وزارت امور خارجه در مصاحبه با خبرنگار خبرگزاری صداوسیما در خصوص مذاکرات ایران-آمریکا در اسلام‌آباد پاکستان @MFAIran,ok
erbilconsulate_admin,https://t.me/s/erbilconsulate_admin,کنسولگری جمهوری اسلامی ایران - اربیل,unknown,unclear,False,0,0,False,True,True,,ok_no_text
erbilparty,https://t.me/s/erbilparty,Erbil party,unknown,unclear,False,12,0,True,False,True,1402/12/17 2024/03/07 https://t.me/erbilparty Join ➣ https://whatsapp.com/channel/0029VaNlfBD5kg72fg6LRa3Z,ok
erfn66,https://t.me/s/erfn66,Admin,unknown,unclear,False,0,0,False,True,True,,ok_no_text
exchange_rate,https://t.me/s/exchange_rate,نرخ اسعار لحظه به لحظه 🇦🇫 ️,Dubai,aggregator,False,16,0,True,True,True,نرخیاب طلوع آفتاب تلگرام سرای شهزاده : #کابل دالر افغانی 🇦🇫 ✅️ 🇺🇸 🇦🇫 خرید 64.83 🇺🇸 🇦🇫 فروش 64.85,ok
exchange_rate11,https://t.me/s/exchange_rate11,گروپ نرخیاب کابل یورو 🇪🇺,unknown,unclear,False,0,0,False,True,True,,ok_no_text
exchangeratescountrie,https://t.me/s/exchangeratescountrie,Telegram: Contact @exchangeratescountrie,unknown,unclear,False,0,0,False,True,True,,ok_no_text
exchangeratescountries,https://t.me/s/exchangeratescountries,نرخ ارز ساعتی £ $ €,London,individual_exchange_shop,True,91,16,True,True,True,"08/05/2026 ‌‏ ‎نرخ پوند امروز لندن ‎خريد حساب رسمی: 190,000 ‎خريد حساب ۵،۰۰۰: 185,000 ‎ خريد آنلاین ۲،۰۰۰ 180,000 ‎خر يد پوند نقدی: 175,000 ——— ‎فروش پوند نقدی:200,000 ‎فروش حساب عادی:205,000 ‎ فروش حساب فوری 210,000 ‎فروش حساب رسمی:215,000",ok
faraz_io,https://t.me/s/faraz_io,Faraz.io | فراز,unknown,unclear,False,15,0,False,True,True,تابستون داره تموم می‌شه ولی فرصت‌ها هنوز داغه! ☀️ 📈 🎁 کمپین پایان تابستون چارت‌فراز شروع شد: 30% تخفیف ویژه برای خرید اشتراک، 🗓️ فقط از 24 تا 31 شهریور با وارد کردن کد تخفیف: SUMEND 💡 پاییز رو با یه قدم جلوتر شروع کن! 🔗 همین حالا وارد شو: 🖥,ok
farzancp,https://t.me/s/farzancp,F@Rzan,unknown,unclear,False,0,0,False,True,True,,ok_no_text
gmail,https://t.me/s/gmail,Gmail | #77,unknown,unclear,False,7,0,False,False,True,Channel created,ok
gold_mesghal,https://t.me/s/gold_mesghal,👎💰 تحلیل تکنیکال آبشده نقدی رسمی و غیررسمی Gold_Mesghal 💰👍,Tehran,individual_exchange_shop,True,71,13,True,False,True,"نرخ فروش #دلار ، #ارز ، #سکه و #طلا در بازار -- تغییر نسبت به دیروز - درصد 💵 دلار: 161,940 تومان 1660 🔼 %1.04+ 💶 یورو: 191,770 تومان 2060 🔼 %1.09+ 💷 پوند: 219,550 تومان 2460 🔼 %1.13+ ‏ 🇨🇦 دلار کانادا: 118,590 تومان 1210 🔼 %1.03+ ‏ 🇦🇺 دلار ا",ok
groupsarafilondonuk,https://t.me/s/groupsarafilondonuk,گروه تجاری مالی لندن London,London,individual_exchange_shop,True,90,15,True,True,True,"گروه صرافي لندن قیمت پوند انگلستان 06/04/2026 ✓ خرید پوند حساب 190,000 ✓ فروش پوند حساب 210,000 ✓ خرید پوند نقدی 180,000 ✓ فروش پوند نقدی 200,000 ✓ فروش پوند حساب رسمی 215,000 ✓ بیشتر از مبالغ 1,000£ بدونه کارمزد ✓ خرید و فروش ارز‌دیجیتال ت",ok
habesha_xx1,https://t.me/s/habesha_xx1,Habesha XXX🔞,unknown,unclear,False,4,0,False,False,True,,ok_no_text
hamster_kombat_bot,https://t.me/s/hamster_kombat_bot,,unknown,unclear,False,0,0,False,False,False,,not_crawled
haratdollar,https://t.me/s/haratdollar,دلار هرات 🅅🄸🄿,unknown,market_price_channel,False,80,13,False,False,True,"هرات فردایی ⏳ 158,350 فروش 🔴",ok
heratonlineexchange,https://t.me/s/heratonlineexchange,صرافی آنلاین هرات,unknown,unclear,False,12,0,False,False,True,امروز هرات مع ✅ ‏ 🇺🇸 ‏ (USD) دلار تومان 3767 ☑️ دقیق لحظه به لحظه 🔰 🆔 @HeratOnlineExchange,ok
hosseinirani888,https://t.me/s/hosseinirani888,HOSSEIN Irani,unknown,unclear,False,0,0,False,True,True,,ok_no_text
iapmairan,https://t.me/s/iapmairan,IAPMA,Dubai,unclear,False,33,1,True,True,True,🔴 وضعیت شکننده بازار خودرو ▪️ وضعیت نگران کننده و رو به وخامت صنعت خودروسازی را باید جدی گرفت. اگر تا پیش از این برخی منتقدان و کارشناسان به اعتراض ها و انتقادها و درخواست های این صنعت اهمیتی قائل نبودند، گزارش اخیر اتاق بازرگانی ایران و حم,ok
ibn_babyl,https://t.me/s/ibn_babyl,ها,unknown,unclear,False,11,0,False,False,True,Channel created,ok
ibnbabyl,https://t.me/s/ibnbabyl,ابن بابل,unknown,unclear,False,15,0,False,False,True,هدف اليمن للتعادل,ok
investmentspotpublic,https://t.me/s/investmentspotpublic,Investment Spot - (Public Group Chat🌏),unknown,unclear,False,0,0,False,True,True,,ok_no_text
investmentspotsul,https://t.me/s/investmentspotsul,Investment Spot,unknown,unclear,False,15,0,False,False,True,ناسداک : ناوچەی بەرگری لە 25.223 بۆ 25.173 دەست پێ دەکات و بە مانەوەی لە خوار ناوچەی دیاری کراو ئامانج لێی گەشتنە بە نرخی 25.380,ok
iqborsa,https://t.me/s/iqborsa,بيش الدولار اليوم,Qom,unclear,False,15,0,False,True,True,مسعود بارزاني : لا رئيس جمهورية دون حسم رئاسة الوزراء..,ok
ir_dolar,https://t.me/s/ir_dolar,قیمت لحظه ای دلار,Tehran,dealer_network_channel,False,51,6,False,False,True,"‼️ نرخ ، سکه و طلا در بازار سکه جدید: 203,500 هـ.تومان سکه قدیم: 199,800 هـ.تومان سکه نیم: 104,500 هـ.تومان سکه ربع: 58,800 هـ.تومان سکه گرمی: 29,000 هـ.تومان مثقال طلا: 88,500 هـ.تومان گرم ۱۸ عیار: 20,430 هـ.تومان اونس: 5,191 دلار @ir_dola",ok
iran_currency_bot,https://t.me/s/iran_currency_bot,تبلیغات و پشتیبانی ایران کارنسی,unknown,unclear,False,0,0,False,True,True,,ok_no_text
iran_exporters,https://t.me/s/iran_exporters,مجمع صادرکنندگان برتر ایران,unknown,unclear,False,14,0,True,True,True,کارگاه نیمه خصوصی «آموزش لینکدین برای بازرگانان» با حضور مدیران و فعالان B2B در تاریخ ۳۰ بهمن برگزار شد. یک فضای تعاملی، متمرکز و پر از گفت‌وگوهای مفید درباره برندسازی و توسعه تجارت در لینکدین. در این محیط صمیمی، شرکت‌کنندگان فرصتی داشتند ت,ok
iran_exporters_group,https://t.me/s/iran_exporters_group,صادرات ایران - گروه چت,unknown,unclear,False,0,0,False,True,True,,ok_no_text
irancurrency,https://t.me/s/irancurrency,قیمت لحظه ای دلار ، ارز ، سکه و طلا,unknown,market_price_channel,False,95,20,True,False,True,"نرخ فروش #دلار ، #ارز ، #سکه و #طلا در بازار -- تغییر نسبت به دیروز - درصد 💵 دلار: 156,950 🔼 4630 🔼 %3.04+ 💶 یورو: 183,980 🔻 5340 🔼 %2.99+ 💷 پوند: 211,240 🔻 6200 🔼 %3.02+ ‏ 🇨🇦 دلار کانادا: 113,380 🔻 3280 🔼 %2.98+ ‏ 🇦🇺 دلار استرالیا: 110,700",ok
iranian_erbil_co,https://t.me/s/iranian_erbil_co,ایرانیان اربیل,unknown,unclear,False,0,0,False,True,True,,ok_no_text
iranianerbil,https://t.me/s/iranianerbil,ایرانیان اربیل,unknown,unclear,False,0,0,False,True,True,,ok_no_text
iranianerbil2,https://t.me/s/iranianerbil2,ایرانیان اربیل,unknown,aggregator,False,40,3,True,True,True,کرم #لیفتینگ صورت و گردن ماساژور دار #جوانساز #لدورا 🥰 این محصول حرفه‌ای یک کرم لیفتینگ مناسب برای انواع پوست است. مواد موثر منحصر به­‌فرد موجود در این کرم در کوتاه‌ترین زمان پوست صورت و گردن را لیفت می‌کند و آثار پیری و چین و چروک پوست را ,ok
iranihay_erbil1,https://t.me/s/iranihay_erbil1,ایرانی های اربیل,Tehran,aggregator,False,14,0,True,False,True,🔥 جهت تبلیغ کالا و خدماتتون در کانال ها و گروه های ممبر ایرانی و عراقی به شماره زیر پیام بفرستید 07507600983 💥 ارزان ترین و پربازده ترین گروه های ایرانی تو اربیل @Iranian_erbil_co,ok
iraniraqchamber,https://t.me/s/iraniraqchamber,اتاق بازرگانی ایران و عراق,Dubai,unclear,False,15,0,True,True,True,https://www.iribnews.ir/fa/news/5673076/,ok
iraniyanerbil2025,https://t.me/s/iraniyanerbil2025,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iransunex,https://t.me/s/iransunex,Telegram: Contact @iransunex,unknown,unclear,False,0,0,False,True,True,,ok_no_text
iraqed06,https://t.me/s/iraqed06,الحقيبة الذهبية,Qom,unclear,False,0,0,False,True,True,,ok_no_text
iraqed1993,https://t.me/s/iraqed1993,الحقيبة الذهبية 6 الابتدائي,unknown,unclear,False,0,0,False,True,True,,ok_no_text
iraqed4,https://t.me/s/iraqed4,ابن بابل,unknown,aggregator,False,14,0,False,True,True,عاجل الكل يجي بقناة الواتساب راح تنزل القرارات بعد قليل بخصوص تعديل الجدول والدخول الشامل والحذوفات 👇 👇 👇,ok
iraqed82,https://t.me/s/iraqed82,الحقائب الذهبية,unknown,unclear,False,0,0,False,True,True,,ok_no_text
iraqkala_ir,https://t.me/s/iraqkala_ir,تاجران عراق ایران,Tabriz,unclear,False,12,0,True,True,True,♨️ واردات خودروی کارکرده با سن بالاتر از ۵ سال ممنوع است براساس آنچه که سازمان توسعه تجارت ایران از ضوابط ثبت آماری واردات خودروهای کارکرده توسط اشخاص حقیقی اعلام کرده، واردات خودروهای با سن بالاتر از پنج سال (۲۰۲۰ به قبل) ممنوع است. همچنین,ok
iraqm,https://t.me/s/iraqm,بورصة الدولار + اسعار الذهب دولار,unknown,unclear,False,21,0,False,False,True,• سعر الذهب >> 995،000 📈,ok
iraqtejarat,https://t.me/s/iraqtejarat,صادرات به عراق,Kerman,unclear,False,15,0,True,True,True,تجمع اعتراضی قشر تجار مقابل ساختمان هیئت گمرک در خیابان النضال بغداد اتاق بازرگانی بغداد از تجار و شهروندان دعوت کرد تا در اعتراض به افزایش تعرفه‌های گمرکی، در یک تجمع اعتراضی شرکت کنند اتاق بازرگانی بغداد از تجار و شهروندان متضرر دعوت می‌ک,ok
iri_erbil,https://t.me/s/iri_erbil,Telegram: Contact @iri_erbil,unknown,unclear,False,0,0,False,True,True,,ok_no_text
irimfa_spox,https://t.me/s/irimfa_spox,,unknown,unclear,False,0,0,False,False,False,,not_crawled
jewish_magic,https://t.me/s/jewish_magic,آکادمی علوم غریبه جادوی یهودی استاد هرمس יהוה אלהים אדונאי שדאי ┏━━🌘✨💠✨┓ jewish_magic ┗━━🌙✨💠✨,Rasht,unclear,False,15,0,False,False,True,″ مرگ، اسکلتی شمشیر به دست نیست که زندگی را برباید، بلکه فرشته ای با کلیدی زرین است که درب وجودی کامل تر و شادمان تر را می‌گشاید؛ تولد پس از مرگ می آید همانطور که بیداری پس از خواب؛ تو کاری را که در زندگی پیشین ناتمام گذاشته ای از سر خواهی ,ok
jewishmagic_admin,https://t.me/s/jewishmagic_admin,,unknown,unclear,False,0,0,False,False,False,,not_crawled
kabul_euro1,https://t.me/s/kabul_euro1,کابل یورو : Kabul Euro,Dubai,aggregator,False,16,0,True,True,True,نرخیاب طلوع آفتاب تلگرام سرای شهزاده : #کابل دالر افغانی 🇦🇫 ✅️ 🇺🇸 🇦🇫 خرید 64.83 🇺🇸 🇦🇫 فروش 64.85,ok
kalimutan_ya,https://t.me/s/kalimutan_ya,KKK,unknown,unclear,False,0,0,False,True,True,,ok_no_text
karyabearag,https://t.me/s/karyabearag,کانال کاریابی خارجی ایرانیان (درکردستان عراق),unknown,unclear,False,22,0,True,True,True,#دهوک #جوشکاری #گاز به سه استاد کار جوشکاری گازو سه تا شاگرد برای شهر دهوک نیازمندیم حقوق متری 2دلاز تا 5دلار می‌باشد جای خواب برعهده شرکت می‌باشد هزینه کاریابی هر استاد کار 8میلیون و شاگرد 4میلیون تومان می‌باشد 09120367210 009647517272095,ok
karyabiiraqiran,https://t.me/s/karyabiiraqiran,,unknown,unclear,False,0,0,False,False,False,,not_crawled
